M3,1,j_1661,1,Terminated,86207,86210,50,0.2
M1,1,j_1661,1,Terminated,86207,86210,50,0.2
R4_3,1,j_1661,1,Terminated,86207,86212,50,0.2
M5_4,17,j_1661,17,Terminated,86207,86300,50,0.39
M2,40,j_1661,401,Terminated,86207,86485,50,0.39
R6_5,1,j_1661,1,Terminated,86207,86617,50,0.3
J7_1_2_6,1,j_1661,1,Terminated,86207,86622,50,0.2
M1,208,j_12560,208,Terminated,86394,86398,50,0.2
R2_1,1,j_12560,1,Terminated,86394,86768,50,0.2
R3_2,1,j_12560,1,Terminated,86394,86772,50,0.2
M4,1,j_18443,1,Terminated,86442,86442,50,0.2
M1,1,j_18443,1,Terminated,86442,86443,50,0.2
R2_1,1,j_18443,1,Terminated,86442,86443,50,0.2
M3_2,9,j_18443,1,Terminated,86442,86446,50,0.39
J5_3_4,1,j_18443,1,Terminated,86442,86446,50,0.2
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,1,j_31060,6,Terminated,86463,86465,10,0.05
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,1,j_31060,6,Terminated,86463,86468,30,0.05
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,1,j_31060,6,Terminated,86463,86838,5,0.03
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,1,j_23459,6,Terminated,86562,86936,10,0.05
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,1,j_23459,6,Terminated,86562,86949,30,0.05
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,1,j_23459,6,Terminated,86562,86953,5,0.03
M1,1,j_16551,1,Terminated,86731,86731,50,0.2
task_ODg3NTU4NTE3NDcxODA4NjA5Ng==,2,j_33924,3,Terminated,86850,86939,300,1.15
R2_1,1,j_17723,1,Terminated,86865,86867,100,0.39
M1,1,j_17723,1,Terminated,86865,86867,100,0.35
M1,1,j_9281,1,Terminated,86878,86888,100,0.3
R3_2,1,j_9281,1,Terminated,86878,86888,100,0.49
R2_1,1,j_9281,1,Terminated,86878,86888,100,0.49
R4_3,1,j_9281,1,Terminated,86878,86889,100,0.39
M2,1,j_8975,1,Terminated,86925,86929,50,0.2
M1,115,j_8975,1,Terminated,86925,86929,50,0.2
M3,3,j_8975,1,Terminated,86925,86936,50,0.3
J4_1_2_3,1,j_8975,1,Terminated,86925,86941,50,0.2
R5_4,1,j_8975,1,Terminated,86925,86944,50,0.2
M1,1,j_10409,1,Terminated,86953,86953,50,0.2
M1,1,j_11259,1,Terminated,87023,87027,50,0.2
R2_1,1,j_11259,1,Terminated,87023,87030,50,0.2
M3_2,1,j_11259,1,Terminated,87023,87033,50,0.2
M6,1,j_15188,1,Terminated,87074,87078,50,0.2
M2,1,j_15188,1,Terminated,87074,87078,50,0.2
M9,2,j_15188,1,Terminated,87074,87080,50,0.3
R7_6,1,j_15188,1,Terminated,87074,87081,50,0.2
M4,1,j_15188,1,Terminated,87074,87082,50,0.3
M1,2,j_15188,1,Terminated,87074,87083,50,0.3
M8_7,1,j_15188,1,Terminated,87074,87085,50,0.2
J3_1_2,1,j_15188,1,Terminated,87074,87087,50,0.2
J10_8_9,1,j_15188,1,Terminated,87074,87088,50,0.2
J5_1_4,1,j_15188,1,Terminated,87074,87095,50,0.3
M1,1,j_2,1,Terminated,87076,87083,50,0.2
R2_1,1,j_2,1,Terminated,87076,87086,50,0.2
M1,100,j_31196,1,Terminated,87104,87243,50,0.39
M1,1,j_18959,1,Terminated,87116,87120,50,0.3
M6,1,j_8781,1,Terminated,87134,87135,50,0.2
R7_6,1,j_8781,1,Terminated,87134,87135,50,0.2
R2_6,1,j_8781,1,Terminated,87134,87135,50,0.2
R9_8,1,j_8781,1,Terminated,87134,87136,50,0.2
R10_9,1,j_8781,1,Terminated,87134,87136,50,0.2
R3_8,1,j_8781,1,Terminated,87134,87136,50,0.2
J1_6_8,1,j_8781,1,Terminated,87134,87136,50,0.2
M8,367,j_8781,1,Terminated,87134,87136,50,0.2
J4_2_3_12,1,j_8781,1,Terminated,87134,87138,50,0.2
R16_15,1,j_8781,1,Terminated,87134,87138,50,0.2
J15_1_5_14,1,j_8781,1,Terminated,87134,87138,50,0.2
J12_10_11,1,j_8781,1,Terminated,87134,87138,50,0.2
